FixationIndex	Timestamp	FixationDuration	FixationPointX	FixationPointY	StimuliName
507	172993	200	522	758	www.apple.com
508	173193	179	708	749	www.apple.com
509	173372	199	740	731	www.apple.com
510	173571	219	425	445	www.apple.com
511	173790	259	385	305	www.apple.com
512	174269	199	716	772	www.apple.com
513	174468	179	839	815	www.apple.com
514	174648	339	980	772	www.apple.com
515	174987	279	1007	842	www.apple.com
516	175266	299	766	820	www.apple.com
517	175565	299	536	792	www.apple.com
518	175864	498	720	726	www.apple.com
519	176362	239	528	734	www.apple.com
520	176601	299	286	736	www.apple.com
521	176901	299	682	813	www.apple.com
522	177200	339	839	402	www.apple.com
523	177539	458	838	317	www.apple.com
524	177997	319	768	722	www.apple.com
525	178316	359	570	824	www.apple.com
526	178874	479	274	863	www.apple.com
527	179353	259	508	817	www.apple.com
528	179612	379	453	953	www.apple.com
529	179991	239	739	815	www.apple.com
530	180230	319	1006	850	www.apple.com
531	180549	319	985	760	www.apple.com
532	180868	239	809	386	www.apple.com
533	181107	219	675	215	www.apple.com
534	181327	220	411	241	www.apple.com
535	181546	199	380	50	www.apple.com
536	181746	379	421	24	www.apple.com
537	182124	339	220	24	www.apple.com
538	182463	957	704	486	www.apple.com
539	183420	239	740	789	ScreenRec
540	183659	638	794	766	www.babylon.com
541	184297	179	708	519	www.babylon.com
542	184477	179	616	368	www.babylon.com
543	184656	199	445	92	www.babylon.com
544	184856	219	308	95	www.babylon.com
545	185075	419	216	26	www.babylon.com
546	185493	399	620	321	www.babylon.com
547	185892	239	628	205	www.babylon.com
548	186132	180	407	157	www.babylon.com
549	186311	259	672	329	www.babylon.com
550	186570	578	776	390	www.babylon.com
551	187148	239	690	375	www.babylon.com
552	187387	359	650	366	www.babylon.com
553	187746	239	589	148	www.babylon.com
554	187986	259	363	113	www.babylon.com
555	188245	239	378	52	www.babylon.com
556	188484	359	655	249	www.babylon.com
557	188843	199	709	333	www.babylon.com
558	189042	219	781	177	www.babylon.com
559	189262	219	1124	388	www.babylon.com
560	189481	219	814	601	www.babylon.com
561	189700	159	718	587	www.babylon.com
562	189860	219	723	361	www.babylon.com
563	190079	199	515	188	www.babylon.com
564	190278	160	573	321	www.babylon.com
565	190438	977	638	370	www.babylon.com
566	191554	399	643	374	www.babylon.com
567	191953	399	574	368	www.babylon.com
568	192352	478	651	388	www.babylon.com
569	192830	239	601	314	www.babylon.com
570	193070	140	575	344	www.babylon.com
571	193209	200	386	191	www.babylon.com
572	193409	279	309	126	www.babylon.com
573	193688	159	614	324	www.babylon.com
574	193847	199	637	352	www.babylon.com
575	194047	578	686	375	www.babylon.com
576	194625	279	564	374	www.babylon.com
577	194904	219	651	380	www.babylon.com
578	195123	618	645	261	www.babylon.com
579	195741	239	653	378	www.babylon.com
580	195980	322	571	585	www.babylon.com
581	196302	157	717	589	www.babylon.com
582	196459	159	724	390	www.babylon.com
583	196758	100	720	800	www.babylon.com
584	196858	120	747	376	www.babylon.com
585	196977	239	598	363	www.babylon.com
586	197216	259	391	573	www.babylon.com
587	197476	319	534	577	www.babylon.com
588	197795	179	704	571	www.babylon.com
589	197974	239	731	356	www.babylon.com
590	198213	479	923	295	www.babylon.com
591	198692	239	702	556	www.babylon.com
592	198931	219	729	604	www.babylon.com
593	199150	239	534	605	www.babylon.com
594	199390	159	381	647	www.babylon.com
595	199549	219	321	684	www.babylon.com
596	199768	219	343	618	www.babylon.com
597	199988	219	528	594	www.babylon.com
598	200207	179	694	611	www.babylon.com
599	200387	160	727	628	www.babylon.com
600	200546	279	932	618	www.babylon.com
601	200825	279	909	689	www.babylon.com
602	201104	200	636	458	www.babylon.com
603	201304	139	504	588	www.babylon.com
604	201443	159	348	578	www.babylon.com
605	201603	538	249	473	www.babylon.com
606	202141	419	317	654	www.babylon.com
607	202560	219	353	637	www.babylon.com
608	202779	379	530	600	www.babylon.com
609	203158	279	365	610	www.babylon.com
610	203437	359	340	684	www.babylon.com
611	203796	279	393	591	www.babylon.com
612	204075	658	542	584	www.babylon.com
613	204733	160	345	604	www.babylon.com
614	204892	498	299	686	www.babylon.com
615	205391	498	356	674	www.babylon.com
616	205889	279	293	661	www.babylon.com
617	206168	259	319	597	www.babylon.com
618	206428	399	288	498	www.babylon.com
619	206826	339	252	476	www.babylon.com
620	207165	239	352	675	www.babylon.com
621	207404	917	304	672	www.babylon.com
622	208322	239	376	676	www.babylon.com
623	208561	538	493	670	www.babylon.com
624	209099	438	550	666	www.babylon.com
625	209538	159	538	627	www.babylon.com
626	209697	1715	696	668	www.babylon.com
627	211412	578	735	661	www.babylon.com
628	211990	459	889	700	www.babylon.com
629	212449	259	968	708	www.babylon.com
630	212708	578	891	693	www.babylon.com
631	213286	239	967	697	www.babylon.com
632	213525	359	915	698	www.babylon.com
633	213884	439	974	698	www.babylon.com
634	214323	359	944	662	www.babylon.com
635	214682	319	891	816	www.babylon.com
636	215000	179	719	743	www.babylon.com
637	215180	199	705	610	www.babylon.com
638	215379	379	329	509	www.babylon.com
639	215758	219	650	674	www.babylon.com
640	215977	259	580	911	www.babylon.com
641	216237	199	456	720	www.babylon.com
642	216436	239	731	446	www.babylon.com
643	216675	1017	753	414	www.babylon.com
